source,target,regex,code
/about-2/,/about/,0,301
/phillip-strang-crime-fiction-author-old/,/about/,0,301
/di-tremayne-series-2/,/di-tremayne-series/,0,301
/di-campbell-series-2/,/di-campbell-series/,0,301
/di-campbell-series-2/dark-streets/,/di-campbell-series/,0,301
/di-campbell-series-2/island-shadows/,/di-campbell-series/,0,301
/di-campbell-series-2/manly-ferry/,/di-campbell-series/,0,301
/di-campbell-series-2/pinchgut/,/di-campbell-series/,0,301
/dci-isaac-cook-series/murder-is-only-a-number-2/,/dci-isaac-cook-series/murder-is-only-a-number/,0,301
/du-thank-you-free-dl-lead-gen-old/,/free-book/,0,301
